City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Mayor Pablo Lagerenza,PY,2021-07-07 22:50:12,-19.9309,-60.7718,81.48,38,76,5.1
152,Gunnedah,AU,2021-07-07 22:50:13,-30.9833,150.25,44.73,71,100,1.01
153,Urumqi,CN,2021-07-07 22:50:13,43.801,87.6005,77.95,41,0,8.95
154,Harer,ET,2021-07-07 22:50:13,9.3094,42.1258,57.88,79,58,6.58
155,Coihaique,CL,2021-07-07 22:48:08,-45.5752,-72.0662,38.01,93,75,0.0
156,Airai,TL,2021-07-07 22:50:14,-8.9266,125.4092,60.82,95,100,3.94
157,Yantal,RU,2021-07-07 22:50:14,56.8471,105.2542,69.76,80,77,6.04
158,Port Blair,IN,2021-07-07 22:50:14,11.6667,92.75,82.36,80,96,12.64
159,Nikolskoye,RU,2021-07-07 22:50:15,59.7035,30.7861,73.29,68,91,5.61
160,Prainha,BR,2021-07-07 22:50:15,-1.8,-53.48,77.23,83,55,2.89
161,Aykhal,RU,2021-07-07 22:50:15,66.0,111.5,58.15,97,100,1.41
162,Lisakovsk,KZ,2021-07-07 22:50:15,52.5369,62.4936,62.65,43,100,20.18
163,Mangrol,IN,2021-07-07 22:50:16,21.1167,70.1167,83.89,73,86,12.33
164,Bandundu,CD,2021-07-07 22:50:16,-3.3167,17.3667,78.06,38,72,3.02
165,Qaqortoq,GL,2021-07-07 22:50:16,60.7167,-46.0333,46.02,73,100,4.63
166,Gao,ML,2021-07-07 22:50:17,16.6362,1.637,97.79,19,65,9.8
167,Havre-Saint-Pierre,CA,2021-07-07 22:50:17,50.2334,-63.5986,64.76,52,90,16.11
168,Roald,NO,2021-07-07 22:50:17,62.5833,6.1333,60.91,88,0,8.05
169,Hervey Bay,AU,2021-07-07 22:50:18,-25.2986,152.8535,69.04,59,61,10.42
170,Ilulissat,GL,2021-07-07 22:50:18,69.2167,-51.1,33.15,99,100,8.95
171,Leh,IN,2021-07-07 22:50:18,34.1667,77.5833,56.14,54,31,4.59
172,Monte Patria,CL,2021-07-07 22:50:19,-30.6919,-70.9467,63.23,22,3,2.28
173,Skala Fourkas,GR,2021-07-07 22:50:20,39.9998,23.3841,86.54,63,0,4.05
174,Presidencia Roque Saenz Pena,AR,2021-07-07 22:50:20,-26.7852,-60.4388,69.73,47,0,1.92
175,Salalah,OM,2021-07-07 22:50:20,17.0151,54.0924,77.63,95,92,8.95
176,Sampit,ID,2021-07-07 22:50:21,-2.5333,112.95,72.59,99,79,1.5
177,Luangwa,ZM,2021-07-07 22:50:21,-15.6167,30.4167,57.85,93,0,3.89
178,Fuling,CN,2021-07-07 22:50:21,29.7022,107.3919,76.41,96,97,2.15
179,Doka,SD,2021-07-07 22:50:21,13.5167,35.7667,70.86,85,100,9.17
180,Bakel,SN,2021-07-07 22:50:22,14.905,-12.4568,90.72,46,39,16.62
181,Kamina,CD,2021-07-07 22:50:22,-8.7386,24.9906,58.96,37,99,4.79
182,Kamenka,RU,2021-07-07 22:50:23,51.3223,42.7678,58.87,70,0,8.25
183,Winnemucca,US,2021-07-07 22:48:32,40.973,-117.7357,102.25,9,1,17.27
184,Labuhan,ID,2021-07-07 22:50:23,-6.8844,112.2051,75.07,84,77,5.66
185,Maldonado,UY,2021-07-07 22:50:24,-34.6667,-54.9167,60.22,86,95,5.37
186,Yining,CN,2021-07-07 22:50:24,29.0361,114.5636,80.02,91,96,2.62
187,Kruisfontein,ZA,2021-07-07 22:50:24,-34.0033,24.7314,53.51,37,51,8.93
188,Poya,NC,2021-07-07 22:50:24,-21.35,165.15,70.86,63,65,10.47
189,Mabaruma,GY,2021-07-07 22:50:25,8.2,-59.7833,74.07,96,22,4.25
190,Grindavik,IS,2021-07-07 22:50:25,63.8424,-22.4338,50.56,87,90,13.8
191,Istmina,CO,2021-07-07 22:50:25,5.1605,-76.684,77.22,92,100,4.45
192,Golden,US,2021-07-07 22:49:31,39.7555,-105.2211,94.19,23,0,7.0
193,De Aar,ZA,2021-07-07 22:50:26,-30.6497,24.0123,53.46,45,3,15.84
194,Irun,ES,2021-07-07 22:50:26,43.339,-1.7894,64.26,83,75,2.3
195,Ouesso,CG,2021-07-07 22:50:27,1.6136,16.0517,74.57,70,76,1.5
196,Hami,CN,2021-07-07 22:50:27,42.8,93.45,88.23,24,83,11.5
197,San Carlos De Bariloche,AR,2021-07-07 22:49:26,-41.1456,-71.3082,42.55,81,40,18.41
198,Turbat,PK,2021-07-07 22:50:27,26.0023,63.044,82.11,72,13,8.05
199,Adil-Yangiyurt,RU,2021-07-07 22:50:28,43.5633,46.5846,68.7,90,100,8.95
200,Montrose,US,2021-07-07 22:48:02,38.4166,-108.2673,83.44,13,34,10.45
201,Andenes,NO,2021-07-07 22:50:28,69.3143,16.1194,62.58,82,75,13.8
202,Dunedin,NZ,2021-07-07 22:50:28,-45.8742,170.5036,42.8,63,53,24.0
203,Corozal,CO,2021-07-07 22:50:29,9.3151,-75.2928,80.01,87,34,11.79
204,Dushanbe,TJ,2021-07-07 22:50:29,38.5577,68.7797,78.62,36,0,4.47
205,Bukama,CD,2021-07-07 22:50:30,-9.2,25.85,65.26,37,56,3.13
206,Shingu,JP,2021-07-07 22:50:30,33.7333,135.9833,79.63,89,100,6.31
207,Husavik,IS,2021-07-07 22:50:30,66.0449,-17.3389,57.11,81,6,4.54
208,Mehamn,NO,2021-07-07 22:50:30,71.0357,27.8492,69.78,62,96,17.36
209,Sorong,ID,2021-07-07 22:50:18,-0.8833,131.25,77.58,88,100,7.25
210,Manacapuru,BR,2021-07-07 22:50:31,-3.2997,-60.6206,82.98,83,66,1.81
211,Bonthe,SL,2021-07-07 22:50:31,7.5264,-12.505,77.83,85,64,6.62
212,Price,US,2021-07-07 22:45:32,39.5994,-110.8107,96.12,13,1,5.75
213,Marsa Matruh,EG,2021-07-07 22:50:32,31.3525,27.2453,79.0,78,0,6.91
214,Vao,NC,2021-07-07 22:50:32,-22.6667,167.4833,68.25,63,54,17.83
215,Lompoc,US,2021-07-07 22:50:32,34.6391,-120.4579,83.21,72,1,14.97
216,Castro,BR,2021-07-07 22:50:33,-24.7911,-50.0119,52.75,84,64,5.14
217,Bonavista,CA,2021-07-07 22:50:33,48.6499,-53.1147,66.2,91,78,19.19
218,Bucerias,MX,2021-07-07 22:46:38,20.75,-105.3333,87.98,70,75,13.8
219,Itaituba,BR,2021-07-07 22:50:33,-4.2761,-55.9836,79.97,71,99,0.22
220,Broken Hill,AU,2021-07-07 22:50:34,-31.95,141.4333,37.11,81,86,1.14
221,Barrow,US,2021-07-07 22:50:34,71.2906,-156.7887,42.82,93,90,8.05
222,Ossora,RU,2021-07-07 22:50:35,59.2353,163.0719,64.15,69,23,4.63
223,Qinhuangdao,CN,2021-07-07 22:50:35,39.9317,119.5883,76.08,84,72,6.93
224,Kurilsk,RU,2021-07-07 22:50:35,45.2333,147.8833,52.83,82,63,8.95
225,Vanimo,PG,2021-07-07 22:50:36,-2.6741,141.3028,80.46,78,78,3.31
226,Ponta Do Sol,PT,2021-07-07 22:50:36,32.6667,-17.1,71.71,79,1,7.27
227,Carnarvon,AU,2021-07-07 22:50:36,-24.8667,113.6333,50.07,67,24,5.75
228,Bouna,CI,2021-07-07 22:50:37,9.2667,-3.0,74.98,81,36,6.17
229,Puerto Ayora,EC,2021-07-07 22:50:37,-0.7393,-90.3518,82.36,87,86,5.99
230,Taltal,CL,2021-07-07 22:50:38,-25.4,-70.4833,59.92,78,24,1.19
231,Alabaster,US,2021-07-07 22:50:38,33.2443,-86.8164,82.45,76,75,0.0
232,Tevaitoa,PF,2021-07-07 22:50:38,-16.7833,-151.5,79.7,71,11,12.37
233,Kinwat,IN,2021-07-07 22:50:39,19.6333,78.2,82.02,73,100,4.29
234,Charters Towers,AU,2021-07-07 22:50:39,-20.1,146.2667,66.94,75,47,15.61
235,Cidreira,BR,2021-07-07 22:50:39,-30.1811,-50.2056,60.55,85,3,12.59
236,Semporna,MY,2021-07-07 22:50:40,4.4818,118.6112,75.4,90,100,11.27
237,Winslow,US,2021-07-07 22:50:40,35.0242,-110.6974,102.96,10,1,1.99
238,Oranjestad,AW,2021-07-07 22:49:46,12.524,-70.027,84.15,74,20,25.32
239,Durant,US,2021-07-07 22:48:35,33.994,-96.3708,96.96,43,1,3.44
240,Adrar,MR,2021-07-07 22:50:41,20.5022,-10.0711,100.89,10,92,10.76
241,Iquique,CL,2021-07-07 22:50:41,-20.2208,-70.1431,60.84,83,36,2.33
242,Codajas,BR,2021-07-07 22:50:42,-3.8367,-62.0569,78.19,79,99,0.4
243,Lincoln,US,2021-07-07 22:50:42,40.8,-96.667,79.29,69,90,1.99
244,Mar Del Plata,AR,2021-07-07 22:50:42,-38.0023,-57.5575,60.1,61,90,5.99
245,Port Keats,AU,2021-07-07 22:50:43,-14.25,129.55,72.59,48,28,3.44
246,Thabazimbi,ZA,2021-07-07 22:50:43,-24.5917,27.4116,52.59,48,1,4.14
247,Palmer,US,2021-07-07 22:50:43,42.1584,-72.3287,80.71,78,75,6.91
248,Maniitsoq,GL,2021-07-07 22:50:47,65.4167,-52.9,37.33,69,26,4.16
249,Chokwe,MZ,2021-07-07 22:50:47,-24.5333,32.9833,58.98,77,0,5.17
250,San Juan,AR,2021-07-07 22:48:17,-31.5375,-68.5364,57.42,32,1,2.68
251,Dingle,PH,2021-07-07 22:50:47,10.9995,122.6711,79.25,88,19,6.4
252,Linxia,CN,2021-07-07 22:50:48,35.6003,103.2064,61.81,70,17,4.36
253,Sonqor,IR,2021-07-07 22:50:48,34.7837,47.6004,72.41,24,0,1.92
254,San Policarpo,PH,2021-07-07 22:50:49,12.1791,125.5072,82.9,77,34,7.11
255,San Patricio,US,2021-07-07 22:50:49,28.017,-97.5169,82.35,86,100,13.29
256,Lensk,RU,2021-07-07 22:50:49,60.7253,114.9278,80.89,44,21,5.66
257,Hinjilikatu,IN,2021-07-07 22:50:50,19.4833,84.75,80.55,84,100,1.36
258,Haapiti,PF,2021-07-07 22:50:50,-17.5667,-149.8667,83.93,74,10,16.84
259,Biak,ID,2021-07-07 22:50:50,-0.9131,122.8766,76.46,86,72,3.91
260,Faanui,PF,2021-07-07 22:50:51,-16.4833,-151.75,79.9,69,40,13.15
261,Constitucion,CL,2021-07-07 22:45:56,-35.3333,-72.4167,52.29,91,91,7.34
262,Kaitangata,NZ,2021-07-07 22:50:51,-46.2817,169.8464,44.92,61,60,13.11
263,Bilibino,RU,2021-07-07 22:50:51,68.0546,166.4372,53.08,83,100,3.65
264,Severo-Kurilsk,RU,2021-07-07 22:50:52,50.6789,156.125,51.91,84,70,6.17
265,Muravlenko,RU,2021-07-07 22:50:52,63.7898,74.523,51.26,78,8,8.28
266,Nyurba,RU,2021-07-07 22:50:52,63.2842,118.3319,76.08,54,49,6.38
267,Anadyr,RU,2021-07-07 22:50:53,64.75,177.4833,55.9,66,20,5.99
268,Vermillion,US,2021-07-07 22:50:53,42.7794,-96.9292,74.66,59,46,6.4
269,Barillas,GT,2021-07-07 22:50:53,15.8036,-91.3158,79.14,88,99,1.97
270,Hanmer Springs,NZ,2021-07-07 22:50:08,-42.5167,172.8167,46.4,65,37,4.29
271,Komsomolskiy,UZ,2021-07-07 22:50:54,40.4272,71.7189,81.82,29,1,4.61
272,Mantua,IT,2021-07-07 22:50:54,45.1667,10.7833,81.21,76,3,6.42
273,Mindelo,CV,2021-07-07 22:50:54,16.8901,-24.9804,74.75,78,20,14.97
274,Leningradskiy,RU,2021-07-07 22:50:55,69.3833,178.4167,45.12,75,94,7.74
275,Pangnirtung,CA,2021-07-07 22:50:55,66.1451,-65.7125,44.6,70,40,19.57
276,Ashland,US,2021-07-07 22:50:55,40.8167,-82.2665,82.65,78,10,7.78
277,Dera Bugti,PK,2021-07-07 22:50:56,29.0307,69.151,89.4,53,0,4.27
278,Los Llanos De Aridane,ES,2021-07-07 22:50:56,28.6585,-17.9182,67.75,95,0,13.8
279,Chokurdakh,RU,2021-07-07 22:50:56,70.6333,147.9167,53.04,85,100,12.3
280,Saint-Joseph,RE,2021-07-07 22:50:57,-21.3667,55.6167,68.36,76,17,13.8
