City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Velez-Malaga,ES,86.76,few clouds,36.7726,-4.1005,Hotel Torremar
592,Cotonou,BJ,78.12,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
599,Nizhniy Baskunchak,RU,78.08,clear sky,48.2198,46.8311,Arman hotel
600,Dong Hoi,VN,80.74,broken clouds,17.4833,106.6,Nam Long Hotel
603,Petatlan,MX,83.88,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
607,Vaitape,PF,79.57,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
615,Shimoda,JP,84.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
616,Iberia,US,84.18,overcast clouds,29.9502,-91.7507,back to back rv park
617,Strathmore,CA,86.38,scattered clouds,51.0501,-113.3852,Wheatland Hotel
620,Chitral,PK,79.0,clear sky,35.8462,71.7858,PTDC Motel Chitral
622,Brainerd,US,79.09,few clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
623,Saint Anthony,US,81.82,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
625,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
627,Coria,ES,82.45,clear sky,39.9879,-6.5377,Hotel San Cristóbal
629,San Quintin,MX,75.56,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
637,Erenhot,CN,81.01,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
642,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
643,Mastic Beach,US,83.16,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
645,Khowst,AF,83.79,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
660,Calcutta,IN,85.95,haze,22.5697,88.3697,Hotel Esplanade Chambers
661,Belize,BZ,87.24,overcast clouds,17.25,-88.75,Villa San Juan
664,Tual,ID,80.94,broken clouds,-5.6667,132.75,Grand Vilia Hotel
666,Mucurapo,TT,82.26,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
669,Najran,SA,83.59,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
670,Lufkin,US,87.71,few clouds,31.3382,-94.7291,Courtyard by Marriott Lufkin
671,Tayu,ID,77.07,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
672,Maues,BR,79.59,overcast clouds,-3.3836,-57.7186,Hotel Miramar
683,Manbij,SY,84.97,clear sky,36.5281,37.9549,Manbej City Hotel
688,Bardiyah,LY,78.84,clear sky,31.7561,25.0865,بورتو بردية
690,The Valley,AI,82.81,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
691,Warwick,US,78.91,broken clouds,41.7001,-71.4162,Hampton Inn & Suites Providence/Warwick-Airport
692,Bilibino,RU,77.67,few clouds,68.0546,166.4372,Gostinitsa Severyanka
695,Kilindoni,TZ,77.09,scattered clouds,-7.9139,39.6668,Bustani B&B
697,Santa Marta,CO,85.98,overcast clouds,11.2408,-74.199,Casa de Isabella
